tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0097165,movie,Dead Poets Society,Dead Poets Society,0,1989,\N,128,"Comedy,Drama",8.1,470723.0
tt2119532,movie,Hacksaw Ridge,Hacksaw Ridge,0,2016,\N,139,"Biography,Drama,History",8.1,500146.0
tt3086442,movie,Goodnight Mommy,"Ich seh, Ich seh",0,2014,\N,99,"Horror,Mystery,Thriller",6.7,50803.0
tt0337563,movie,13 Going on 30,13 Going on 30,0,2004,\N,98,"Comedy,Fantasy,Romance",6.2,185873.0
tt0206275,movie,Save the Last Dance,Save the Last Dance,0,2001,\N,112,"Drama,Music,Romance",6.1,61368.0
tt1622547,movie,30 Minutes or Less,30 Minutes or Less,0,2011,\N,83,"Action,Comedy,Crime",6.1,99452.0
tt0466909,movie,The Omen,The Omen,0,2006,\N,110,"Drama,Fantasy,Horror",5.5,58912.0
tt0364569,movie,Oldboy,Oldeuboi,0,2003,\N,120,"Action,Drama,Mystery",8.4,560772.0
tt0259324,movie,Ghost Rider,Ghost Rider,0,2007,\N,110,"Action,Fantasy,Thriller",5.2,235405.0
tt0101862,movie,Father of the Bride,Father of the Bride,0,1991,\N,105,"Comedy,Family,Romance",6.5,74768.0
tt7657566,movie,Death on the Nile,Death on the Nile,0,2022,\N,127,"Crime,Drama,Mystery",6.3,93161.0
tt0112471,movie,Before Sunrise,Before Sunrise,0,1995,\N,101,"Drama,Romance",8.1,297937.0
tt0144120,movie,Bride of Chucky,Bride of Chucky,0,1998,\N,89,"Comedy,Horror,Thriller",5.5,57546.0
tt0165982,movie,Sinbad: Legend of the Seven Seas,Sinbad: Legend of the Seven Seas,0,2003,\N,88,"Adventure,Animation,Comedy",6.7,53683.0
tt2543164,movie,Arrival,Arrival,0,2016,\N,116,"Drama,Sci-Fi",7.9,667958.0
tt0107614,movie,Mrs. Doubtfire,Mrs. Doubtfire,0,1993,\N,125,"Comedy,Drama",7.0,263720.0
tt1509767,movie,The Three Musketeers,The Three Musketeers,0,2011,\N,110,"Action,Adventure,Fantasy",5.7,107319.0
tt6294822,movie,The Post,The Post,0,2017,\N,116,Drama,7.2,148247.0
tt4126476,movie,After,After,0,2019,\N,105,"Drama,Romance",5.2,51960.0
tt3469046,movie,Despicable Me 3,Despicable Me 3,0,2017,\N,89,"Adventure,Animation,Comedy",6.2,128873.0
tt0103786,movie,Beethoven,Beethoven,0,1992,\N,87,"Comedy,Drama,Family",5.7,70979.0
tt0032976,movie,Rebecca,Rebecca,0,1940,\N,130,"Drama,Film-Noir,Mystery",8.1,134892.0
tt0120903,movie,X-Men,X-Men,0,2000,\N,104,"Action,Adventure,Sci-Fi",7.4,603044.0
tt0054997,movie,The Hustler,The Hustler,0,1961,\N,134,"Drama,Sport",8.0,80981.0
tt0159365,movie,Cold Mountain,Cold Mountain,0,2003,\N,154,"Adventure,Drama,History",7.2,147325.0
tt0141926,movie,U-571,U-571,0,2000,\N,116,"Action,War",6.6,81945.0
tt0038650,movie,It's a Wonderful Life,It's a Wonderful Life,0,1946,\N,130,"Drama,Family,Fantasy",8.6,444037.0
tt0290334,movie,X2: X-Men United,X2,0,2003,\N,134,"Action,Sci-Fi,Thriller",7.4,539906.0
tt4912910,movie,Mission: Impossible - Fallout,Mission: Impossible - Fallout,0,2018,\N,147,"Action,Adventure,Thriller",7.7,320401.0
tt0114148,movie,Pocahontas,Pocahontas,0,1995,\N,81,"Adventure,Animation,Drama",6.7,183001.0
tt0118749,movie,Boogie Nights,Boogie Nights,0,1997,\N,155,Drama,7.9,259143.0
tt1832382,movie,A Separation,Jodaeiye Nader az Simin,0,2011,\N,123,Drama,8.3,240951.0
tt5220122,movie,Hotel Transylvania 3: Summer Vacation,Hotel Transylvania 3: Summer Vacation,0,2018,\N,97,"Adventure,Animation,Comedy",6.3,70993.0
